outcome,event_month,coef,std_error,t_stat,p_value,ci_low_95,ci_high_95,baseline_month_omitted,pretrend_joint_wald_stat,pretrend_joint_p_value,mean_pre_event_coef,mean_post_event_coef,cumulative_post_coef_0_6,cumulative_post_coef_0_12
avg_first_response_hours,-2,-2.7105969747326237,1.2214587684104985,-2.219147338276479,0.027234773338854934,-5.104656160817201,-0.3165377886480467,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,0,5.205899641446263,0.5716547472439147,9.106719862898295,0.0,4.08545633684819,6.326342946044336,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,1,3.1172326519355895,1.7958008149852422,1.735845437825579,0.08363178301154872,-0.402536945435485,6.637002249306664,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,2,3.0888675363303038,1.4073281346255093,2.194845296084593,0.028951228878469903,0.3305043924643054,5.8472306801963025,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,3,1.456476386786944,1.5375646395921745,0.9472618901884096,0.34427801662307767,-1.5571503068137182,4.470103080387606,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,4,0.1257409406047963,1.2821266298795857,0.09807216984222969,0.9219413631752413,-2.3872272539591917,2.638709135168784,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,5,1.1848001281061777,0.9731795296343739,1.2174527844326013,0.22440166735213007,-0.722631749977195,3.0922320061895503,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,6,1.707253834447242,1.1897932606674417,1.4349163765556372,0.15236665936706273,-0.6247409564609439,4.0392486253554285,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,7,1.441397573519864,0.9766904290622533,1.475797786719164,0.14106113673145826,-0.4729156674421524,3.3557108144818804,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,8,2.0886541247099837,1.6529391660614365,1.263600117653908,0.20736787422481906,-1.1511066407704318,5.328414890190399,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,9,2.788592610430231,1.467160766164037,1.9006728333672267,0.05831619172585678,-0.08704249125128127,5.664227712111744,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,10,3.7977777464131224,0.9179089657747618,4.137423086621237,4.582089084625984e-05,1.9986761734945893,5.596879319331656,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,11,0.4659620149561438,1.3515460230814729,0.3447622256279282,0.7305179673621414,-2.183068190283543,3.1149922201958304,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,12,1.1747870788253347,1.758988566110286,0.6678764725703609,0.5047328508212421,-2.2728305107508255,4.622404668401495,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,13,1.3004048086872688,2.9309454172081,0.4436810051297311,0.6575973737201184,-4.444248209040607,7.045057826415144,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,14,3.0886178832467923,1.2095735220389243,2.553476764306519,0.011166647873373403,0.7178537800505005,5.459381986443084,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,15,1.3399403023662084,0.606746253240778,2.208403093071056,0.0279824429776665,0.1507176460142836,2.5291629587181332,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,16,1.2709515430989178,0.9288468229787992,1.3683112345940889,0.1722523786605985,-0.5495882299395285,3.091491316137364,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,17,0.7208551789288007,1.4275388119709684,0.5049636289282624,0.6139601236797334,-2.077120892534297,3.518831250391899,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,18,-0.004461579791984898,2.044595201264255,-0.002182133553490747,0.9982603806054722,-4.011868174269925,4.002945014685955,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
backlog_open_end_month,-12,-15.807566666310988,9.024413150755567,-1.7516448329925478,0.08087054571924157,-33.495416441791896,1.8802831091699215,-1,3.866870336675644e+16,0.0,-10.134937397523363,-3.797540810781527,-21.531895900905752,-67.14713743417617
